alpha,near,fair,elastic
0.0,1.5238095238095237,-44.666666666666664,-25.38095238095238
0.1,1.5333333333333334,-36.08571428571429,-25.700000000000003
0.2,1.5428571428571431,-27.50476190476191,-27.076190476190476
0.3,1.5523809523809522,-18.92380952380952,-20.109523809523807
0.4,1.5619047619047617,-10.34285714285714,-16.79047619047619
0.5,1.5714285714285714,-1.7619047619047619,-4.357142857142857
0.6,1.580952380952381,6.819047619047616,-5.933333333333333
0.7,1.5904761904761904,15.399999999999997,1.0619047619047597
0.8,1.6,23.980952380952385,5.638095238095241
0.9,1.6095238095238094,32.56190476190476,15.728571428571431
1.0,1.619047619047619,41.142857142857146,21.523809523809526
