alpha,near,fair,elastic
0.0,2.380952380952381,-41.285714285714285,-38.666666666666664
0.1,2.376190476190476,-33.34285714285714,-23.45714285714286
0.2,2.3714285714285714,-25.4,-23.047619047619047
0.3,2.3666666666666667,-17.45714285714286,-20.43333333333333
0.4,2.361904761904762,-9.514285714285709,-13.828571428571427
0.5,2.357142857142857,-1.5714285714285714,-7.904761904761905
0.6,2.3523809523809525,6.371428571428569,-1.7809523809523826
0.7,2.3476190476190473,14.31428571428571,4.842857142857141
0.8,2.342857142857143,22.25714285714286,10.885714285714286
0.9,2.3380952380952382,30.200000000000003,11.157142857142858
1.0,2.3333333333333335,38.142857142857146,16.952380952380953
