nbTenant,obj_cp,time_cp,obj_rl,time_rl
10,198.20000000074478,7.5299999713897705,148.8,0.021
20,442.200000000744,27.539999961853027,534.975,0.03
30,689.316666667534,67.38000011444092,731.2666666666667,0.045
40,816.3875000000004,128.38000011444092,822.275,0.065
50,1060.8499999999997,214.07999992370605,1144.94,0.095
