x,y,rad
7.311469360199058,9.014476240300544,0.5888888888888889
4.968225934308908,9.858769332362016,0.5111111111111111
8.571240443456864,9.874208338984266,0.5
2.281579303734177,0.7479382813444624,0.34444444444444444
7.431577182910525,9.495832704567261,0.5222222222222223
0.3051322863820438,6.916553793139485,0.4444444444444444
8.5169089403032,0.5674714260152058,0.36666666666666664
4.082850955300814,3.523887920698725,0.5444444444444444
9.936866413660749,5.619453390593078,0.5111111111111111
4.759845405345581,0.49411478214972937,0.4
5.822723681370428,8.512429683406786,0.5666666666666667
2.286738341797643,1.531858692059932,0.4
9.639222864568236,2.3262564370920256,0.4111111111111111
6.166416559599189,6.0889540214597195,0.6444444444444445
2.476189990121238,8.393600882564604,0.5111111111111111
6.88995384279028,7.976571472083265,0.5666666666666667
1.2372421958696544,1.0757452405954704,0.3111111111111111
0.32763791795241803,9.326626471787403,0.32222222222222224
2.668269248022821,5.544075375089187,0.5777777777777777
2.272671480188173,1.428654042485742,0.4
