group,nbTenant,obj,time
1,10,138.14999999999998,3.7099999990314245
1,20,140.9750000003719,22.08999999985099
1,30,196.38333333333338,52.30000000074506
1,40,256.85000000092987,99.76999999955297
1,50,213.78000000010942,167.14000000059605
2,10,118.35000000000002,4.489999998360872
2,20,128.9,21.449999999254942
2,30,155.06666666803127,54.77999999932945
2,40,192.4500000005573,113.98000000044703
2,50,237.7100000007426,200.29000000096858
3,10,127.05000000000007,5.9400000013411045
3,20,144.22500000037172,22.25
3,30,145.3833333338287,53.269999999552965
3,40,167.17500000018464,104.43999999947846
3,50,187.76000000036993,186.7800000011921
4,10,88.30000000223498,3.9399999994784594
4,20,158.00000000000006,22.709999999031425
4,30,165.8333333342011,52.669999999925494
4,40,168.75000000018457,107.75
4,50,180.57000000085418,184.24000000022352
5,10,116.40000000148984,3.3100000005215406
5,20,174.52500000111672,22.720000000670552
5,30,184.68333333432508,52.0
5,40,186.2750000001846,98.0
5,50,202.7600000004815,176.72000000067055
