alpha,near,fair,elastic
0.0,2.238095238095238,-43.19047619047619,-38.61904761904762
0.1,2.2333333333333334,-34.6,-30.676190476190477
0.2,2.2285714285714286,-26.009523809523813,-27.019047619047623
0.3,2.2238095238095235,-17.41904761904762,-18.947619047619046
0.4,2.219047619047619,-8.828571428571426,-15.895238095238094
0.5,2.2142857142857144,-0.23809523809523808,-9.714285714285714
0.6,2.2095238095238097,8.35238095238095,-3.152380952380952
0.7,2.2047619047619045,16.94285714285714,2.871428571428569
0.8,2.2,25.533333333333335,10.209523809523812
0.9,2.195238095238095,34.12380952380953,7.328571428571429
1.0,2.1904761904761907,42.714285714285715,20.571428571428573
