x,y,rad
7.311469360199058,9.014476240300544,0.5263157894736842
4.968225934308908,9.858769332362016,0.5847953216374269
8.571240443456864,9.874208338984266,0.05847953216374269
2.281579303734177,0.7479382813444624,0.29239766081871343
7.431577182910525,9.495832704567261,0.05847953216374269
0.3051322863820438,6.916553793139485,0.3508771929824561
8.5169089403032,0.5674714260152058,0.0
4.082850955300814,3.523887920698725,0.8187134502923976
9.936866413660749,5.619453390593078,0.5847953216374269
4.759845405345581,0.49411478214972937,0.0
5.822723681370428,8.512429683406786,0.0
2.286738341797643,1.531858692059932,0.05847953216374269
9.639222864568236,2.3262564370920256,0.4678362573099415
6.166416559599189,6.0889540214597195,0.23391812865497075
2.476189990121238,8.393600882564604,0.23391812865497075
6.88995384279028,7.976571472083265,0.23391812865497075
1.2372421958696544,1.0757452405954704,0.0
0.32763791795241803,9.326626471787403,0.0
2.668269248022821,5.544075375089187,0.4678362573099415
2.272671480188173,1.428654042485742,0.0
