alpha,near,fair,elastic
0.0,164.04761904761904,154.85714285714286,160.1904761904762
0.1,147.93809523809523,140.18571428571428,148.33809523809524
0.2,131.82857142857142,125.51428571428572,132.46666666666667
0.3,115.71904761904761,110.84285714285713,116.42380952380951
0.4,99.60952380952382,96.17142857142856,99.74285714285713
0.5,83.5,81.5,82.02380952380952
0.6,67.39047619047619,66.82857142857144,66.97142857142858
0.7,51.2809523809524,52.157142857142865,51.02380952380953
0.8,35.171428571428564,37.48571428571428,36.59047619047618
0.9,19.06190476190476,22.81428571428571,20.219047619047615
1.0,2.9523809523809526,8.142857142857142,3.619047619047619
