alpha,near,fair,elastic
0.0,5.857142857142857,-36.095238095238095,-30.142857142857142
0.1,5.604761904761905,-29.300000000000004,-27.45714285714286
0.2,5.352380952380953,-22.504761904761903,-22.647619047619052
0.3,5.1,-15.70952380952381,-16.599999999999998
0.4,4.847619047619047,-8.914285714285715,-11.352380952380951
0.5,4.595238095238095,-2.119047619047619,-5.666666666666667
0.6,4.342857142857143,4.676190476190476,0.7238095238095219
0.7,4.090476190476191,11.471428571428568,4.338095238095235
0.8,3.838095238095238,18.26666666666667,8.914285714285716
0.9,3.5857142857142854,25.061904761904763,15.819047619047621
1.0,3.3333333333333335,31.857142857142858,16.095238095238095
