alpha,near,fair,elastic
0.0,1.1904761904761905,-46.19047619047619,-17.761904761904763
0.1,1.2,-36.66190476190476,-29.080952380952382
0.2,1.2095238095238094,-27.133333333333333,-21.076190476190476
0.3,1.2190476190476192,-17.604761904761904,-21.885714285714283
0.4,1.2285714285714286,-8.076190476190474,-17.0
0.5,1.2380952380952381,1.4523809523809523,-10.857142857142858
0.6,1.2476190476190476,10.980952380952383,-4.83809523809524
0.7,1.2571428571428571,20.509523809523802,-1.080952380952383
0.8,1.2666666666666668,30.038095238095245,5.000000000000003
0.9,1.2761904761904763,39.56666666666666,6.700000000000001
1.0,1.2857142857142858,49.095238095238095,12.761904761904763
