0.28,0.654,0.967,2.083,2.083,3.227,3.643,4.166,6.815,7.353,
0.289,0.801,1.684,2.738,2.638,2.798,3.794,4.319,5.155,6.249,
0.215,0.636,0.967,1.497,2.12,2.66,3.77,4.115,5.28,6.108,
0.225,0.586,0.934,1.433,2.06,2.702,3.491,4.843,5.345,6.181,
0.217,0.859,0.996,1.516,2.035,2.679,3.424,4.163,5.339,6.071,
0.209,0.558,0.93,1.41,1.911,2.516,3.152,3.937,4.909,5.937,
0.21,0.514,0.985,1.377,1.921,2.563,3.318,4.081,4.827,5.86,
0.21,0.495,0.885,1.322,2.02,2.537,3.115,3.854,5.557,6.085,
0.281,0.643,1.015,1.441,2.016,2.757,3.424,4.225,5.027,5.921,
0.224,0.579,0.931,1.426,2.008,2.73,3.335,4.299,5.04,5.833,
