0.114,0.241,0.49,0.647,0.84,1.165,1.515,2.03,2.115,2.511,
0.115,0.261,0.477,0.668,0.895,1.161,1.555,1.901,2.279,2.63,
0.187,0.261,0.497,0.734,0.97,1.279,1.646,2.019,2.168,2.619,
0.115,0.257,0.488,0.685,0.895,1.214,1.577,1.905,2.285,2.661,
0.117,0.337,0.449,0.68,0.955,1.23,1.499,2.015,2.198,2.688,
0.113,0.255,0.473,0.657,0.867,1.118,1.446,1.768,2.095,2.497,
0.194,0.262,0.492,0.686,0.905,1.155,1.456,2.031,2.4,2.617,
0.116,0.256,0.485,0.658,0.878,1.171,1.519,1.799,2.106,2.515,
0.19,0.269,0.495,0.69,0.922,1.213,1.583,1.871,2.587,2.597,
0.123,0.35,0.455,0.699,0.973,1.242,1.509,2.045,2.268,2.742,
