0.32,0.62,0.783,1.003,1.38,1.898,2.199,2.824,3.259,4.043,
0.191,0.466,0.727,1.011,1.433,1.862,4.184,2.877,3.412,3.985,
0.224,0.371,0.66,0.996,1.387,1.767,2.304,2.829,3.328,3.863,
0.329,0.436,0.685,0.978,1.437,1.85,2.443,2.96,3.356,4.003,
0.229,0.359,0.694,0.95,1.341,1.872,2.245,2.852,3.39,3.887,
0.225,0.345,0.638,0.911,1.251,1.715,2.184,2.64,3.477,3.783,
0.153,0.359,0.66,0.967,1.313,1.728,2.247,2.729,3.255,3.838,
0.227,0.35,0.639,0.903,1.277,1.727,2.231,2.64,3.144,3.869,
0.226,0.37,0.674,0.984,1.348,1.768,2.255,2.742,3.322,3.887,
0.162,0.366,0.687,1.004,1.442,1.825,2.302,2.807,3.368,4.309,
