0.064,0.139,0.23,0.391,0.507,0.594,0.729,0.96,1.105,1.306,
0.07,0.146,0.337,0.359,0.505,0.631,0.798,1.02,1.197,1.305,
0.07,0.154,0.311,0.354,0.508,0.621,0.768,0.973,1.135,1.319,
0.072,0.159,0.317,0.366,0.508,0.632,0.796,0.972,1.166,1.377,
0.075,0.233,0.255,0.414,0.506,0.631,0.826,1.005,1.168,1.363,
0.083,0.151,0.256,0.37,0.533,0.667,0.764,0.916,1.123,1.287,
0.091,0.159,0.249,0.375,0.53,0.658,0.8,0.944,1.154,1.3,
0.095,0.159,0.247,0.364,0.499,0.637,0.775,0.918,1.122,1.272,
0.095,0.161,0.254,0.377,0.518,0.658,0.812,0.943,1.138,1.41,
0.079,0.163,0.264,0.379,0.524,0.655,0.806,0.944,1.148,1.444,
