0.046,0.1,0.144,0.192,0.403,0.338,0.368,0.446,0.493,0.55,
0.087,0.111,0.218,0.284,0.279,0.409,0.445,0.528,0.729,0.811,
0.038,0.101,0.147,0.204,0.271,0.295,0.367,0.443,0.521,0.641,
0.083,0.114,0.144,0.201,0.252,0.333,0.422,0.438,0.527,0.632,
0.034,0.075,0.158,0.218,0.327,0.434,0.351,0.455,0.546,0.558,
0.062,0.079,0.15,0.485,0.36,0.341,0.34,0.434,0.47,0.616,
0.036,0.093,0.14,0.2,0.251,0.32,0.375,0.396,0.494,0.54,
0.038,0.094,0.144,0.174,0.248,0.266,0.337,0.426,0.488,0.521,
0.04,0.08,0.126,0.18,0.226,0.288,0.322,0.412,0.459,0.516,
0.041,0.082,0.135,0.174,0.216,0.266,0.33,0.408,0.466,0.526,
