0.107,0.337,0.425,0.667,0.986,1.27,1.524,1.791,2.212,2.675,
0.112,0.316,0.436,0.737,0.936,1.207,1.728,1.84,2.409,2.611,
0.205,0.255,0.463,0.679,0.9,1.218,1.581,1.986,2.261,2.677,
0.115,0.32,0.437,0.672,0.946,1.213,1.666,1.979,2.729,2.674,
0.116,0.324,0.454,0.679,0.945,1.372,1.569,2.019,2.503,2.788,
0.14,0.332,0.434,0.684,0.994,1.21,1.443,2.138,2.078,2.603,
0.118,0.259,0.494,0.783,0.924,1.219,1.559,1.861,2.309,2.621,
0.118,0.331,0.433,0.664,0.915,1.31,1.509,1.887,2.162,2.591,
0.123,0.265,0.494,0.688,0.908,1.228,1.579,2.077,2.257,2.681,
0.124,0.27,0.503,0.699,0.935,1.236,1.688,1.922,2.314,3.057,
