0.249,0.572,0.922,1.399,2.01,2.597,3.213,4.039,5.114,5.809,
0.219,0.584,0.923,1.406,2.063,3.121,3.398,4.201,5.211,6.634,
0.265,0.508,0.973,1.524,2.041,2.636,3.502,4.329,5.188,6.076,
0.22,0.554,0.93,1.41,2.272,2.749,3.397,4.302,5.254,6.303,
0.212,0.528,0.99,1.431,1.981,2.672,3.598,4.522,5.071,6.198,
0.275,0.485,0.946,1.34,1.919,2.739,3.247,3.969,4.788,5.884,
0.207,0.631,0.909,1.415,2.017,2.64,3.561,4.184,5.489,6.109,
0.268,0.557,0.902,1.371,1.949,2.569,3.347,4.302,4.879,5.732,
0.216,0.575,0.931,1.402,2.011,2.654,3.566,4.249,5.166,6.063,
0.288,0.52,0.997,1.537,2.271,2.763,3.375,4.25,5.216,6.825,
